Sigla;Codigo;Cidade;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08
PR;4106605;Cruzeiro do Oeste;172;120;110;66;83;76;107;77;78;123;83;140;144;92;78;100;142;108
PR;4106704;Cruzeiro do Sul;2;5;7;2;4;3;3;3;5;2;4;5;3;4;6;3;4;5
PR;4106803;Cruz Machado;18;18;16;16;21;16;21;13;16;13;27;28;22;25;17;23;38;22
PR;4106852;Cruzmaltina;2;4;3;2;0;8;2;1;5;4;4;2;6;8;2;2;2;3
PR;4106902;Curitiba;40489;30510;24162;20525;18507;22877;25418;27364;27178;30442;27888;30078;35443;30196;28784;28890;31373;34424
PR;4107009;Curiúva;46;29;35;34;27;33;27;24;22;35;33;43;48;34;36;40;41;31
PR;4107108;Diamante do Norte;7;10;8;10;2;6;11;9;5;6;18;12;11;15;21;12;6;12
PR;4107124;Diamante do Sul;6;0;1;0;1;1;1;6;2;1;4;0;6;2;3;1;2;4
PR;4107157;Diamante D'Oeste;2;24;1;3;3;3;0;4;1;9;3;5;5;2;3;7;2;2
PR;4107207;Dois Vizinhos;440;470;359;350;420;347;449;501;425;441;479;545;569;440;540;484;645;626
PR;4107256;Douradina;30;23;67;22;31;38;37;45;46;41;33;53;45;44;40;45;50;40
PR;4107306;Doutor Camargo;11;21;12;8;13;12;15;13;7;26;12;12;10;20;18;10;9;16
PR;4107405;Enéas Marques;37;23;19;25;17;24;26;24;21;25;42;39;34;23;20;24;16;16
PR;4107504;Engenheiro Beltrão;34;38;32;24;31;32;22;33;57;38;39;43;30;27;35;32;47;85
PR;4107520;Esperança Nova;7;18;6;0;2;2;1;3;1;4;3;3;3;1;6;3;1;2
PR;4107538;Entre Rios do Oeste;23;20;24;16;31;18;29;21;16;26;29;31;28;22;27;42;38;33
PR;4107546;Espigão Alto do Iguaçu;7;7;6;3;2;7;8;6;5;6;13;5;27;13;3;11;7;7
PR;4107553;Farol;2;1;3;0;0;3;2;1;1;3;3;1;3;1;0;3;2;3
PR;4107603;Faxinal;39;37;17;23;34;23;36;29;22;37;21;42;44;37;29;40;33;33
PR;4107652;Fazenda Rio Grande;923;610;552;630;443;651;517;640;591;848;750;802;777;647;760;786;904;713
PR;4107702;Fênix;10;33;5;2;1;3;5;3;6;9;4;1;9;3;6;4;13;4
PR;4107736;Fernandes Pinheiro;64;25;8;8;5;9;8;12;2;17;11;19;22;18;12;12;19;13
PR;4107751;Figueira;11;16;24;13;9;17;16;25;22;15;19;23;20;42;23;32;22;33
PR;4107801;Floraí;34;16;11;16;16;15;22;15;21;26;23;44;30;33;18;16;26;20
PR;4107850;Flor da Serra do Sul;22;15;13;22;14;14;20;14;21;26;25;40;40;20;28;30;27;26
PR;4107900;Floresta;18;16;14;13;9;13;22;16;13;23;14;21;24;18;26;37;27;25
PR;4108007;Florestópolis;39;29;25;33;39;30;45;31;184;48;93;45;44;33;31;31;32;30
PR;4108106;Flórida;2;3;8;0;3;1;3;6;2;2;3;2;6;5;4;8;6;5
PR;4108205;Formosa do Oeste;29;25;20;23;18;11;15;12;22;18;26;32;23;39;31;56;33;30
PR;4108304;Foz do Iguaçu;3332;3528;2146;1541;2023;1595;1475;1665;1838;2032;2054;2266;2309;2056;1897;1943;1864;2247
PR;4108320;Francisco Alves;5;6;6;6;3;5;11;8;3;9;6;8;5;18;8;9;9;21
PR;4108403;Francisco Beltrão;832;815;645;650;659;734;806;1006;789;970;922;979;1062;1026;987;983;1031;1104
